run_name,st1_frequency,st2_frequency,trial_file,st1_file,st2_file,run_dir
st1_81_hz__st2_257_hz__trial_1,81_hz,257_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/257_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_257_hz__trial_1
st1_81_hz__st2_289_hz__trial_1,81_hz,289_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/289_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_289_hz__trial_1
st1_81_hz__st2_513_hz__trial_1,81_hz,513_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/513_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_513_hz__trial_1
st1_81_hz__st2_1_hz__trial_1,81_hz,1_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/1_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_1_hz__trial_1
st1_81_hz__st2_161_hz__trial_1,81_hz,161_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/161_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_161_hz__trial_1
st1_81_hz__st2_497_hz__trial_1,81_hz,497_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/497_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_497_hz__trial_1
st1_81_hz__st2_593_hz__trial_1,81_hz,593_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/593_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_593_hz__trial_1
st1_81_hz__st2_401_hz__trial_1,81_hz,401_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/401_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_401_hz__trial_1
st1_81_hz__st2_433_hz__trial_1,81_hz,433_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/433_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_433_hz__trial_1
st1_81_hz__st2_337_hz__trial_1,81_hz,337_hz,trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_1/81_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/general_code/spike_train_output/st_2/337_hz/trial_1.pwl,/home/s5117909/Documents/thesis/sebastian_thesis_repo/processing/cadence_extraction/output_single_data/st1_81_hz__st2_337_hz__trial_1
